
['172.16.20.25']    her-2960x-25 
 
['172.19.20.12']    JIA-211-620-12 
 
['172.19.20.15']    JIA-C141-620-15 
 
['172.16.20.105']    adm-200b-VG224-105 
 
['172.16.20.107']    CRA2801gw 
 
['172.16.20.12']    ADM-300B-320-12 
 
['172.16.20.104']    CEC2801gw 
 
['172.16.20.11']    ADM-200B-320-11 
 
['172.16.20.14']    ADM-CPSIGN-320-14 
 
['172.16.20.125']    HER-2960X-320-125 
 
['172.16.20.139']    CEC-SPACEPORT-320-139 
 
['172.16.20.15']    ADM-CPCELL-320-15 
 
['172.16.20.19']    ADM-HASSAN-2960L-19 
 
['172.16.20.22']    her-1532-far-22 
 
['172.16.20.166']    HER-SRST2801-166 
 
['172.16.20.18']    ADM-ALEXK-2960L-18 
 
['172.16.20.23']    cra-1532-near-23 
 
['172.16.20.223']    ADM-DAVIDJ-223 
 
['172.16.20.24']    cra-1532-far-24 
 
['172.16.20.166']    HER-SRST2801-166 
 
['172.16.20.19']    ADM-HASSAN-2960L-19 
 
['172.16.20.15']    ADM-CPCELL-320-15 
 
['172.16.20.22']    her-1532-far-22 
 
['172.16.20.18']    ADM-ALEXK-2960L-18 
 
['172.16.20.223']    ADM-DAVIDJ-223 
 
['172.16.20.23']    cra-1532-near-23 
 
['172.16.20.24']    cra-1532-far-24 
 
['172.19.20.122']    JIA-BLDGSW-620-122 
 
['172.19.20.121']    JIA-BLDGS-620-121 
 
['172.19.20.123']    JIA-BLDGSE-620-123 
 
['172.19.20.120']    JIA-BLDGN-620-120 
 
['172.19.20.124']    JIA-BLDGNE-620-124 
 
['172.19.20.125']    JIA-BLDGNW-620-125 
 
['172.19.20.13']    JIA-232-620-13 
 
['172.19.20.14']    JIA-C105-620-14 
 
[ '172.20.90.10']    JIA-LS136-3750X-136 
 
['172.19.20.161']    JIA-EL2-ENT22-620-161 
 
['172.19.20.162']    JIA-EL2-EX26-620-162 
 
['172.19.20.16']    JIA-C170-620-16 
 
['172.19.20.160']    JIA-EL2-ENT21-620-160 
 
['172.19.20.163']    JIA-EL2-EX27-620-163 
 
['172.19.20.164']    JIA-EL2-SHUTTLE-620-164 
 
['172.19.20.167']    JIA-EL1-EX11-167 
 
['172.19.20.165']    JIA-EL1-EN11-165 
 
['172.19.20.166']    JIA-EL1-EN12-166 
 
['172.19.20.168']    JIA-EL1-EX12-168 
 
['172.19.20.169']    JIA-EL1-EX13-169 
 
['172.19.20.17']    JIA-A110A-620-17 
 
['172.19.20.170']    JIA-EL1-SHUEX-170 
 
['172.19.20.171']    JIA-EL3-EN1-171 
 
['172.19.20.172']    JIA-EL3-EX1-172 
 
['172.19.20.173']    JIA-EL3-SHUEX-173 
 
['172.19.20.174']    JIA-SVL-EX17-174 
 
['172.19.20.176']    JIA-SVL-EX18-176 
 
['172.19.20.177']    JIA-DG-EN5-177 
 
['172.19.20.175']    JIA-MAINTGATE-COLEF-620-175 
 
['172.19.20.179']    JIA-HG-EN7-179 
 
['172.19.20.178']    JIA-DG-EN6-178 
 
['172.19.20.180']    JIA-HG-EN8-180 
 
['172.19.20.18']    JIA-A110AB-620-18 
 
['172.19.20.181']    JIA-HG-EN9-181 
 
['172.19.20.188']    JIA-COMM_LOT-EX-188 
 
['172.19.20.189']    JIA-PREMLOT-BARN-EN-189 
 
['172.19.20.191']    JIA-PREMLOT-EN16-191 
 
['172.19.20.190']    JIA-PREMLOT-BARN-EX-190 
 
['172.19.20.19']    JIA-A124-620-19 
 
['172.19.20.192']    JIA-PREMLOT-EX21-192 
 
['172.19.20.193']    JIA-EL2-EX27B-620-193 
 
['172.19.20.194']    JIA-EMPLOT-EX19-194 
 
['172.19.20.195']    JIA-EMPLOT-EX20-195 
 
['172.19.20.196']    JIA-EMPLOT-EN14-196 
 
['172.19.20.197']    JIA-EMPLOT-EN15-197 
 
['172.19.20.198']    JIA-SVL-EN12-198 
 
['172.19.20.199']    JIA-SVL-EN13-199 
 
['172.19.20.2']    JIA-TUG-3750-2 
 
['172.19.20.201']    JIA-HG-EX11-201 
 
['172.19.20.202']    JIA-DSL-EN1-202 
 
['172.19.20.200']    JIA-HG-EX12-200 
 
['172.19.20.204']    JIA-DSL-EN3-204 
 
['172.19.20.203']    JIA-DSL-EN2-203 
 
['172.19.20.206']    JIA-DSLSHUT-EX9-206 
 
['172.19.20.207']    JIA-TOLLPLAZA-EX1-207 
 
['172.19.20.208']    JIA-TOLLPLAZA-EX2-208 
 
['172.19.20.205']    JIA-DSL-EN4-205 
 
